Programmname	Beschreibung	Typ	Hersteller	Gruppe Anwendungsfall	Dateitypen	Link
md5sum			Unix4Windows			
mkdir			Unix4Windows			
mkfifo			Unix4Windows			
mknod			Unix4Windows			
mv			Unix4Windows			
mvdir			Unix4Windows			
nl			Unix4Windows			
od			Unix4Windows			
paste			Unix4Windows			
patch			Unix4Windows			
pathchk			Unix4Windows			
pclip			Unix4Windows			
pr			Unix4Windows			
printenv			Unix4Windows			
printf			Unix4Windows			
pwd			Unix4Windows			
recode			Unix4Windows			
rm			Unix4Windows			
rman			Unix4Windows			
rmdir			Unix4Windows			
sdiff	Texte		Unix4Windows			
sed	Texte		Unix4Windows			
seq			Unix4Windows			
shar			Unix4Windows			
sleep	Zeitbereich warten		Unix4Windows			
sort			Unix4Windows			
split			Unix4Windows			
stego			Unix4Windows			
su			Unix4Windows			
sum			Unix4Windows			
sync			Unix4Windows			
tac			Unix4Windows			
tail			Unix4Windows			
tar	Komprimierung		Unix4Windows			
tee			Unix4Windows			
test			Unix4Windows			
touch			Unix4Windows			
tr			Unix4Windows			
type			Unix4Windows			
uname			Unix4Windows			
unexpand			Unix4Windows			
uniq			Unix4Windows			
unrar	Komprimierung		Unix4Windows			
unshar			Unix4Windows			
unzip	Komprimierung		Unix4Windows			
uudecode			Unix4Windows			
uuencode			Unix4Windows			
wc			Unix4Windows			
which			Unix4Windows			
whoami			Unix4Windows			
xargs			Unix4Windows			
yes			Unix4Windows			
zcat			Unix4Windows			
zip	Komprimierung		Unix4Windows			
